Welcome.started,Welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,workerId,mturkLink,date,expName,psychopyVersion,OS,frameRate,Globals.started,Globals.stopped,SessionIntro.started,SessionIntro.stopped,sessKey.keys,sessKey.rt,sessKey.duration,TrialIntro.started,TrialIntro.stopped,trialKey.keys,trialKey.rt,trialKey.duration,Frame.started,Frame.stopped,resp.keys,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,frames.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,resp.rt,resp.duration,ITI.started,ITI.stopped,itiKey.keys,itiKey.rt,itiKey.duration,Thanks.started,Thanks.stopped,thanksKey.keys,thanksKey.rt,thanksKey.duration
0.0027,4.2895,return,4.2648,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,4.2899,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,4.297,5.1712,return,0.8481,,5.1714,5.7209,return,0.5333,,5.7227,8.2218,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,8.2229,10.7215,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,10.7221,13.2213,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,13.222,15.7206,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,15.7212,18.2217,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,18.2222,20.7214,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,images/Variation06_20110131/clio_rx+38.470_ry+69.221_rz-76.168_tx+00.591_ty-00.477_s+01.260_d6288d2ff384590e70fd5aa1d6768ce47a163a62_256x256.png,,,images/Variation06_20110131/motoryacht_rx+50.827_ry+62.377_rz+69.048_tx+00.224_ty+00.580_s+01.508_7a02c166ec927929995becc3d93b0f7f7195cd9a_256x256.png,images/Variation06_20110131/bmw325_rx+35.950_ry+00.026_rz-23.155_tx+00.599_ty-00.743_s+01.099_275315df97c51740c26c0262ec467dab4a6c1724_256x256.png,images/Variation06_20110131/motoryacht_rx+50.827_ry+62.377_rz+69.048_tx+00.224_ty+00.580_s+01.508_7a02c166ec927929995becc3d93b0f7f7195cd9a_256x256.png,b,b,b,x,x,,,,,,,,,,,,
,,,,,,,2025-11-09_12h44.47.682,interdms_position_identity_trials,2025.1.1,MacIntel,59.88023952,,,20.7239,21.5371,return,0.7871,,21.5371,22.1042,return,0.5539,,22.1052,24.6035,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
