session,stim1,stim2,stim3,act3
0,images/Variation06_20110131/01_Airliner_2jetEngines_rx+75.492_ry+139.056_rz+74.860_tx+00.309_ty-00.706_s+01.859_adb1c0b4433df6619626334cf3ffcd16ffe2b8b8_256x256.png,images/Variation03_20110128/support_rx+43.384_ry+105.797_rz-19.073_tx+00.227_ty-00.040_s+01.165_65fc8fabbbe05697074937247c1f2d4c185434e4_256x256.png,images/Variation00_20110203/walnut_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_5fd906758f13731a000a056260c0c6fed4ff3786_256x256.png,b
0,images/Variation06_20110131/face0004_rx+13.892_ry-56.355_rz-33.547_tx-00.354_ty+00.980_s+00.942_c6294dfba6fa1f8ef93d0a55a9c690bf387bed38_256x256.png,images/Variation06_20110131/Beetle_rx+66.691_ry+02.215_rz-70.438_tx+00.137_ty+00.981_s+01.323_53991aafc814d9db3b4bb72b1127a00dd068c54c_256x256.png,images/Variation06_20110131/011_rx-86.937_ry-32.869_rz+70.373_tx-00.429_ty+00.255_s+00.492_b90b0d95ce4488673ecc01645a329d4040eafc8b_256x256.png,b
0,images/Variation06_20110131/10_rx+89.780_ry-55.981_rz+85.872_tx-00.474_ty-00.214_s+00.816_6f12c08aa0182fb9ebf9f4a2cb5583dca052fb92_256x256.png,images/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,images/Variation00_20110203/face0004_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.800_55ed1a15b191930ab18c20db9140305097cbc503_256x256.png,b
0,images/Variation03_20110128/support_rx+43.384_ry+105.797_rz-19.073_tx+00.227_ty-00.040_s+01.165_65fc8fabbbe05697074937247c1f2d4c185434e4_256x256.png,images/Variation06_20110131/CGTG_L_rx-01.935_ry-75.930_rz-77.844_tx-00.370_ty+00.311_s+01.688_de7e13dfab41d7fec5558b2d1e3a4ec1a563f165_256x256.png,images/Variation03_20110128/CGTG_L_rx+28.194_ry+32.511_rz-39.622_tx-00.125_ty+00.308_s+01.456_77e577e9600e9eb87689ee6afb0952ece7db78d0_256x256.png,x
0,images/Variation06_20110131/01_Airliner_2jetEngines_rx-71.417_ry+163.668_rz+177.944_tx+00.079_ty+00.202_s+01.071_7621f9c4bf13db6a09363239b8d1ef5828368bc4_256x256.png,images/Variation06_20110131/05_future_rx-76.786_ry+152.115_rz+113.510_tx-00.452_ty+00.219_s+01.990_a38f7efa470fafdf195bf2b215b97bfddfb4cdc6_256x256.png,images/Variation06_20110131/01_Airliner_2jetEngines_rx+07.446_ry+142.996_rz+75.035_tx-00.376_ty+00.307_s+01.681_2a2f3aff2e634fdfa8936f8c7e97dc9875e39f93_256x256.png,b
0,images/Variation03_20110128/CGTG_L_rx+20.518_ry+36.224_rz+03.824_tx-00.160_ty-00.536_s+01.016_239eeb2c453058c64041976909d4d3b609d03685_256x256.png,images/Variation06_20110131/blCow_rx+21.968_ry-55.778_rz-13.963_tx-00.314_ty-00.510_s+00.815_1771a8b56b4b063bb8ff256f9d7adc870348cca4_256x256.png,images/Variation06_20110131/Beetle_rx+18.468_ry+13.861_rz-00.641_tx-00.246_ty-01.038_s+01.448_62383a2a8a133772768b927cc6e31c796b5f2b21_256x256.png,x
0,images/Variation06_20110131/face0001_rx-61.656_ry+76.928_rz+89.403_tx-00.305_ty+00.267_s+00.970_2bc3ec7c92bba9f3ce8250458c453e4ab5638c3e_256x256.png,images/Variation03_20110128/face0001_rx-08.819_ry+25.594_rz+08.279_tx-00.049_ty+00.046_s+00.984_6e02cf3db148d784bca3052ce2ed8b55aebd052a_256x256.png,images/Variation03_20110128/011_rx+37.766_ry-18.510_rz+15.517_tx+00.123_ty+00.225_s+00.582_f2121217dc351171e3cd06e4da5166f56d1b74c8_256x256.png,b
0,images/Variation06_20110131/support_rx+00.103_ry+113.298_rz-54.263_tx+00.165_ty-00.906_s+01.008_d9b32bf07c4609b4acb9696ec80bf7257b428c6b_256x256.png,images/Variation03_20110128/CGTG_L_rx+28.194_ry+32.511_rz-39.622_tx-00.125_ty+00.308_s+01.456_77e577e9600e9eb87689ee6afb0952ece7db78d0_256x256.png,images/Variation00_20110203/face0004_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.800_55ed1a15b191930ab18c20db9140305097cbc503_256x256.png,b
1,images/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png,images/Variation03_20110128/astra_rx-28.646_ry-02.606_rz+05.609_tx+00.042_ty-00.388_s+01.088_34eb36940d320c8e4b3d446bc366dc4620058c2a_256x256.png,images/Variation06_20110131/astra_rx+21.437_ry+87.130_rz+11.805_tx-00.421_ty-01.149_s+01.008_b9add36dd5768d3d585186712eb74782f31a3d78_256x256.png,x
1,images/Variation03_20110128/Beetle_rx-06.302_ry-39.833_rz+22.244_tx-00.197_ty-00.042_s+01.234_f144e3aabccefb4228b8257506a2aa26ba5b4a6d_256x256.png,images/Variation06_20110131/05_future_rx-60.543_ry+62.709_rz+17.709_tx+00.504_ty-01.029_s+01.348_1f00bdd9e2d0caefc99716330feb8c7d750fcaa9_256x256.png,images/Variation06_20110131/05_future_rx+42.186_ry+46.683_rz+144.362_tx+00.225_ty+00.897_s+01.050_1dc24c43530afa3ca21470b68a79bdb784fcf61f_256x256.png,b
