session,stim1,stim2,stim3,act3,stim4,act4
1,images/Variation06_20110131/face0001_rx-61.656_ry+76.928_rz+89.403_tx-00.305_ty+00.267_s+00.970_2bc3ec7c92bba9f3ce8250458c453e4ab5638c3e_256x256.png,images/Variation06_20110131/face0001_rx-63.032_ry-76.549_rz-30.079_tx+00.219_ty+00.195_s+00.721_f5caeb0014beb7064cbf035046e0f237536d3635_256x256.png,images/Variation06_20110131/face0004_rx-69.400_ry-63.474_rz+01.224_tx-00.360_ty+00.178_s+01.186_c28e2ccd0c476e2f36ab9541e163e311306e979e_256x256.png,b,images/Variation06_20110131/support_rx+21.772_ry+67.257_rz-42.693_tx-00.278_ty+00.310_s+01.416_cc4ffbc12a9cbb9b9e9d19dad11f57c9cbb7a595_256x256.png,b
1,images/Variation03_20110128/face0001_rx-34.489_ry+06.548_rz+13.138_tx-00.119_ty-00.524_s+00.886_b68a141b258a31e8cda51fcb30c1d76ade4f2039_256x256.png,images/Variation00_20110203/support_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_333ffaa8f1ed166ae3423fec9eae3d1a3a1af56f_256x256.png,images/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,b,images/Variation06_20110131/GORILLA_rx+64.597_ry+70.016_rz+31.113_tx+00.071_ty-00.985_s+01.171_c460d2f97714ef9d00248a7717dc25e9372d8b47_256x256.png,b
1,images/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,images/Variation03_20110128/CGTG_L_rx-23.819_ry+27.301_rz+33.099_tx+00.114_ty+00.402_s+01.050_e1089275f5cc104f982f7839ab5ed4c4a97c77f8_256x256.png,images/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,b,images/Variation06_20110131/face0001_rx-61.656_ry+76.928_rz+89.403_tx-00.305_ty+00.267_s+00.970_2bc3ec7c92bba9f3ce8250458c453e4ab5638c3e_256x256.png,x
1,images/Variation06_20110131/CGTG_L_rx+42.135_ry-45.754_rz-48.117_tx-00.447_ty-00.539_s+01.688_00b602c77f28f4d19414291beb3820480b1d2598_256x256.png,images/Variation03_20110128/38_rx-37.125_ry-41.816_rz+11.940_tx-00.094_ty-00.502_s+00.621_3b9b91683804878c97728c1323e3f9efb13a83ef_256x256.png,images/Variation06_20110131/01_Airliner_2jetEngines_rx-14.979_ry+124.994_rz+53.775_tx-00.026_ty-01.003_s+01.743_987cbd5f20914fe67b786813107a9bf1f7872b93_256x256.png,b,images/Variation03_20110128/CGTG_L_rx-23.819_ry+27.301_rz+33.099_tx+00.114_ty+00.402_s+01.050_e1089275f5cc104f982f7839ab5ed4c4a97c77f8_256x256.png,x
1,images/Variation00_20110203/face0004_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.800_55ed1a15b191930ab18c20db9140305097cbc503_256x256.png,images/Variation06_20110131/support_rx+00.103_ry+113.298_rz-54.263_tx+00.165_ty-00.906_s+01.008_d9b32bf07c4609b4acb9696ec80bf7257b428c6b_256x256.png,images/Variation03_20110128/38_rx-37.125_ry-41.816_rz+11.940_tx-00.094_ty-00.502_s+00.621_3b9b91683804878c97728c1323e3f9efb13a83ef_256x256.png,b,images/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,b
1,images/Variation06_20110131/Pear_obj_rx-87.764_ry+07.006_rz+03.481_tx-00.468_ty-00.141_s+00.926_160678ce5350301512c9be5b1ab7d8e80c151d3c_256x256.png,images/Variation06_20110131/Pear_obj_rx-87.764_ry+07.006_rz+03.481_tx-00.468_ty-00.141_s+00.926_160678ce5350301512c9be5b1ab7d8e80c151d3c_256x256.png,images/Variation06_20110131/support_rx+21.772_ry+67.257_rz-42.693_tx-00.278_ty+00.310_s+01.416_cc4ffbc12a9cbb9b9e9d19dad11f57c9cbb7a595_256x256.png,b,images/Variation06_20110131/05_future_rx-76.786_ry+152.115_rz+113.510_tx-00.452_ty+00.219_s+01.990_a38f7efa470fafdf195bf2b215b97bfddfb4cdc6_256x256.png,b
1,images/Variation03_20110128/38_rx-03.172_ry+18.082_rz+11.946_tx-00.258_ty-00.381_s+00.832_0c04a361705461916339257186311d8be9c7ba46_256x256.png,images/Variation06_20110131/blCow_rx-87.223_ry+31.170_rz+03.214_tx+00.542_ty+01.060_s+00.508_461e80d4a5c38f19d7c2c2b0e2976b0308d68203_256x256.png,images/Variation06_20110131/face0001_rx-61.656_ry+76.928_rz+89.403_tx-00.305_ty+00.267_s+00.970_2bc3ec7c92bba9f3ce8250458c453e4ab5638c3e_256x256.png,b,images/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,b
1,images/Variation06_20110131/blCow_rx+21.968_ry-55.778_rz-13.963_tx-00.314_ty-00.510_s+00.815_1771a8b56b4b063bb8ff256f9d7adc870348cca4_256x256.png,images/Variation06_20110131/011_rx-18.359_ry+68.059_rz-55.729_tx+00.383_ty+00.048_s+00.853_6480c32626969bfc8d45ba531e885e483d45a857_256x256.png,images/Variation03_20110128/38_rx-15.128_ry+43.251_rz-34.460_tx+00.285_ty+00.152_s+00.871_fa1c4ed63b1b49e9aa5e2d82aaf289b4f05c0ae8_256x256.png,b,images/Variation06_20110131/Beetle_rx+18.468_ry+13.861_rz-00.641_tx-00.246_ty-01.038_s+01.448_62383a2a8a133772768b927cc6e31c796b5f2b21_256x256.png,b
1,images/Variation06_20110131/10_rx+48.667_ry-35.959_rz-64.416_tx-00.264_ty-01.095_s+00.911_314ca82cab5c62871f06597cb1974f044479064d_256x256.png,images/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,images/Variation06_20110131/05_future_rx+70.542_ry+138.504_rz+105.988_tx+00.126_ty+00.657_s+01.560_ce56947cdc2d9a42e498addc1c5930506d1d7dab_256x256.png,x,images/Variation06_20110131/CGTG_L_rx+42.135_ry-45.754_rz-48.117_tx-00.447_ty-00.539_s+01.688_00b602c77f28f4d19414291beb3820480b1d2598_256x256.png,b
1,images/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png,images/Variation06_20110131/Pear_obj_rx-12.499_ry-33.133_rz+89.770_tx+00.314_ty+00.683_s+00.913_b9a8e415a2428e218a82032831d261df4dbef35d_256x256.png,images/Variation06_20110131/face0001_rx-61.656_ry+76.928_rz+89.403_tx-00.305_ty+00.267_s+00.970_2bc3ec7c92bba9f3ce8250458c453e4ab5638c3e_256x256.png,b,images/Variation03_20110128/01_Airliner_2jetEngines_rx+09.575_ry+87.212_rz+54.229_tx-00.277_ty-00.488_s+01.446_e2434f44be808df37a645952d707bafec43e1385_256x256.png,b
1,images/Variation06_20110131/01_Airliner_2jetEngines_rx-14.979_ry+124.994_rz+53.775_tx-00.026_ty-01.003_s+01.743_987cbd5f20914fe67b786813107a9bf1f7872b93_256x256.png,images/Variation06_20110131/031_rx+39.168_ry+64.686_rz-13.439_tx-00.599_ty+00.222_s+00.716_21aecb18b64c47d33c714073000096a3490674c4_256x256.png,images/Variation06_20110131/031_rx+84.149_ry+34.221_rz+36.853_tx-00.424_ty-00.634_s+01.030_0d944a5c935dbb8a926303060563f571bd96d13d_256x256.png,x,images/Variation06_20110131/astra_rx-77.418_ry-08.359_rz+07.507_tx-00.278_ty+01.137_s+00.759_3eaa6f1fe020d5828184bcb88839891548d39c65_256x256.png,b
1,images/Variation06_20110131/011_rx-86.937_ry-32.869_rz+70.373_tx-00.429_ty+00.255_s+00.492_b90b0d95ce4488673ecc01645a329d4040eafc8b_256x256.png,images/Variation00_20110203/face0004_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.800_55ed1a15b191930ab18c20db9140305097cbc503_256x256.png,images/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,b,images/Variation06_20110131/011_rx-18.359_ry+68.059_rz-55.729_tx+00.383_ty+00.048_s+00.853_6480c32626969bfc8d45ba531e885e483d45a857_256x256.png,x
