stim1,stim2,same_category,same_obj,same_pos,stim1_category,stim2_category,stim1_obj,stim2_obj,stim1_pos,stim2_pos,stim1_fp,stim2_fp
84,30,0,0,1,7,3,1,1,9,9,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/01_Airliner_2jetEngines_rx+09.575_ry+87.212_rz+54.229_tx-00.277_ty-00.488_s+01.446_e2434f44be808df37a645952d707bafec43e1385_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Beetle_rx+18.468_ry+13.861_rz-00.641_tx-00.246_ty-01.038_s+01.448_62383a2a8a133772768b927cc6e31c796b5f2b21_256x256.png
30,17,0,0,0,3,2,1,8,9,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Beetle_rx+18.468_ry+13.861_rz-00.641_tx-00.246_ty-01.038_s+01.448_62383a2a8a133772768b927cc6e31c796b5f2b21_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/support_rx-32.213_ry+63.576_rz-05.364_tx-00.100_ty+00.410_s+01.398_29bbc94867083f413e41225ebaa879b9cda7bafb_256x256.png
17,14,1,1,0,2,2,8,8,2,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/support_rx-32.213_ry+63.576_rz-05.364_tx-00.100_ty+00.410_s+01.398_29bbc94867083f413e41225ebaa879b9cda7bafb_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/support_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_333ffaa8f1ed166ae3423fec9eae3d1a3a1af56f_256x256.png
14,58,0,0,1,2,5,8,1,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/support_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_333ffaa8f1ed166ae3423fec9eae3d1a3a1af56f_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/face0001_rx-08.819_ry+25.594_rz+08.279_tx-00.049_ty+00.046_s+00.984_6e02cf3db148d784bca3052ce2ed8b55aebd052a_256x256.png
58,59,1,1,0,5,5,1,1,5,4,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/face0001_rx-08.819_ry+25.594_rz+08.279_tx-00.049_ty+00.046_s+00.984_6e02cf3db148d784bca3052ce2ed8b55aebd052a_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0001_rx-63.032_ry-76.549_rz-30.079_tx+00.219_ty+00.195_s+00.721_f5caeb0014beb7064cbf035046e0f237536d3635_256x256.png
96,67,0,0,1,8,6,7,7,9,9,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/38_rx+61.765_ry-42.901_rz-17.900_tx-00.383_ty-00.910_s+00.792_143d6b27b4bc2c4ca83adcb732804b927f3122a6_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/walnut_obj_rx-119.473_ry+38.753_rz+05.743_tx-00.220_ty-00.403_s+00.539_fae61cd4f0b4964dcaa3123c5f61c471c60af5da_256x256.png
67,72,1,0,0,6,6,7,4,9,1,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/walnut_obj_rx-119.473_ry+38.753_rz+05.743_tx-00.220_ty-00.403_s+00.539_fae61cd4f0b4964dcaa3123c5f61c471c60af5da_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-12.499_ry-33.133_rz+89.770_tx+00.314_ty+00.683_s+00.913_b9a8e415a2428e218a82032831d261df4dbef35d_256x256.png
72,75,1,1,0,6,6,4,4,1,3,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-12.499_ry-33.133_rz+89.770_tx+00.314_ty+00.683_s+00.913_b9a8e415a2428e218a82032831d261df4dbef35d_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-107.091_ry+52.555_rz-04.800_tx-00.274_ty+00.980_s+00.888_c5d603195a1fe86303dd7e9268aeaf3ee17cd24f_256x256.png
75,57,0,0,1,6,5,4,4,3,3,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-107.091_ry+52.555_rz-04.800_tx-00.274_ty+00.980_s+00.888_c5d603195a1fe86303dd7e9268aeaf3ee17cd24f_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0004_rx+13.892_ry-56.355_rz-33.547_tx-00.354_ty+00.980_s+00.942_c6294dfba6fa1f8ef93d0a55a9c690bf387bed38_256x256.png
57,62,1,0,0,5,5,4,1,3,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0004_rx+13.892_ry-56.355_rz-33.547_tx-00.354_ty+00.980_s+00.942_c6294dfba6fa1f8ef93d0a55a9c690bf387bed38_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0001_rx-61.656_ry+76.928_rz+89.403_tx-00.305_ty+00.267_s+00.970_2bc3ec7c92bba9f3ce8250458c453e4ab5638c3e_256x256.png
14,36,0,0,0,2,3,8,3,5,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/support_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_333ffaa8f1ed166ae3423fec9eae3d1a3a1af56f_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png
36,48,0,0,1,3,4,3,5,6,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/011_rx-86.937_ry-32.869_rz+70.373_tx-00.429_ty+00.255_s+00.492_b90b0d95ce4488673ecc01645a329d4040eafc8b_256x256.png
48,46,1,1,0,4,4,5,5,6,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/011_rx-86.937_ry-32.869_rz+70.373_tx-00.429_ty+00.255_s+00.492_b90b0d95ce4488673ecc01645a329d4040eafc8b_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/011_rx+37.766_ry-18.510_rz+15.517_tx+00.123_ty+00.225_s+00.582_f2121217dc351171e3cd06e4da5166f56d1b74c8_256x256.png
46,50,1,1,0,4,4,5,5,5,7,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/011_rx+37.766_ry-18.510_rz+15.517_tx+00.123_ty+00.225_s+00.582_f2121217dc351171e3cd06e4da5166f56d1b74c8_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/011_rx+02.892_ry-48.100_rz-82.209_tx+00.459_ty-00.625_s+00.953_5556b40175798dcc04a639dd5ca815c7c51aaaee_256x256.png
50,68,0,0,1,4,6,5,7,7,7,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/011_rx+02.892_ry-48.100_rz-82.209_tx+00.459_ty-00.625_s+00.953_5556b40175798dcc04a639dd5ca815c7c51aaaee_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/walnut_obj_rx-33.785_ry-11.360_rz-87.699_tx+00.508_ty-00.512_s+00.479_a1708ff35fa965562f0002fa84426dba5c1c3daa_256x256.png
38,76,0,0,0,3,7,3,2,1,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-12.168_ry+32.362_rz-06.838_tx+00.227_ty+00.437_s+00.944_ff3f20b489e78ee5d0db356052166caf801408fc_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png
76,80,1,1,0,7,7,2,2,5,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/05_future_rx+70.542_ry+138.504_rz+105.988_tx+00.126_ty+00.657_s+01.560_ce56947cdc2d9a42e498addc1c5930506d1d7dab_256x256.png
80,74,0,0,1,7,6,2,4,2,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/05_future_rx+70.542_ry+138.504_rz+105.988_tx+00.126_ty+00.657_s+01.560_ce56947cdc2d9a42e498addc1c5930506d1d7dab_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-81.964_ry+16.581_rz+33.477_tx+00.054_ty+00.865_s+01.022_33898a7755705e482be4a27de9ec351f473e0798_256x256.png
74,73,1,1,0,6,6,4,4,2,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-81.964_ry+16.581_rz+33.477_tx+00.054_ty+00.865_s+01.022_33898a7755705e482be4a27de9ec351f473e0798_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-87.764_ry+07.006_rz+03.481_tx-00.468_ty-00.141_s+00.926_160678ce5350301512c9be5b1ab7d8e80c151d3c_256x256.png
73,69,1,0,1,6,6,4,7,6,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-87.764_ry+07.006_rz+03.481_tx-00.468_ty-00.141_s+00.926_160678ce5350301512c9be5b1ab7d8e80c151d3c_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/walnut_obj_rx-88.101_ry+30.441_rz-00.959_tx-00.226_ty-00.193_s+00.728_4c49fca4074732c6dbe60a3a0b134b82c89111c1_256x256.png
21,99,0,0,0,2,8,2,7,5,4,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/CGTG_L_rx+28.194_ry+32.511_rz-39.622_tx-00.125_ty+00.308_s+01.456_77e577e9600e9eb87689ee6afb0952ece7db78d0_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-15.128_ry+43.251_rz-34.460_tx+00.285_ty+00.152_s+00.871_fa1c4ed63b1b49e9aa5e2d82aaf289b4f05c0ae8_256x256.png
99,94,1,1,0,8,8,7,7,4,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-15.128_ry+43.251_rz-34.460_tx+00.285_ty+00.152_s+00.871_fa1c4ed63b1b49e9aa5e2d82aaf289b4f05c0ae8_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-02.830_ry+39.717_rz+22.827_tx-00.018_ty-00.169_s+00.847_b1188ce0d9f37b1f937e9ba24ab75ff26101052f_256x256.png
94,34,0,0,1,8,3,7,3,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-02.830_ry+39.717_rz+22.827_tx-00.018_ty-00.169_s+00.847_b1188ce0d9f37b1f937e9ba24ab75ff26101052f_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-28.646_ry-02.606_rz+05.609_tx+00.042_ty-00.388_s+01.088_34eb36940d320c8e4b3d446bc366dc4620058c2a_256x256.png
34,37,1,1,0,3,3,3,3,5,9,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-28.646_ry-02.606_rz+05.609_tx+00.042_ty-00.388_s+01.088_34eb36940d320c8e4b3d446bc366dc4620058c2a_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/astra_rx+21.437_ry+87.130_rz+11.805_tx-00.421_ty-01.149_s+01.008_b9add36dd5768d3d585186712eb74782f31a3d78_256x256.png
37,36,1,1,0,3,3,3,3,9,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/astra_rx+21.437_ry+87.130_rz+11.805_tx-00.421_ty-01.149_s+01.008_b9add36dd5768d3d585186712eb74782f31a3d78_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png
19,61,0,0,0,2,5,8,1,6,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/support_rx+21.772_ry+67.257_rz-42.693_tx-00.278_ty+00.310_s+01.416_cc4ffbc12a9cbb9b9e9d19dad11f57c9cbb7a595_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png
61,29,0,0,1,5,3,1,1,2,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Beetle_rx+66.691_ry+02.215_rz-70.438_tx+00.137_ty+00.981_s+01.323_53991aafc814d9db3b4bb72b1127a00dd068c54c_256x256.png
29,33,1,1,0,3,3,1,1,2,7,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Beetle_rx+66.691_ry+02.215_rz-70.438_tx+00.137_ty+00.981_s+01.323_53991aafc814d9db3b4bb72b1127a00dd068c54c_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Beetle_rx-75.319_ry-16.455_rz-33.697_tx+00.436_ty-00.557_s+01.491_63e0c27781e439aed5c9d74a6b82b73a16164055_256x256.png
